,MMSI,BaseDateTime,LAT,LON,SOG,COG
1104950,316001251,2019-01-01T03:58:56,49.40366,-123.28122,16.0,339.2
1117748,316001251,2019-01-01T04:00:26,49.40985,-123.2848,15.8,339.1
1124634,316001251,2019-01-01T04:01:32,49.41437,-123.28739,15.9,338.2
1127518,316001251,2019-01-01T04:02:37,49.41886,-123.29001,15.8,338.2
1133325,316001251,2019-01-01T04:03:55,49.4235,-123.29506,15.7,315.6
1138935,316001251,2019-01-01T04:05:08,49.42632,-123.30215,16.2,297.8
1150339,316001251,2019-01-01T04:06:11,49.42722,-123.3089,16.0,264.0
1155068,316001251,2019-01-01T04:07:14,49.42643,-123.31625,16.5,263.0
1160766,316001251,2019-01-01T04:08:26,49.42563,-123.32461,16.5,260.9
1166862,316001251,2019-01-01T04:09:44,49.42478,-123.33354,16.2,260.8
1172798,316001251,2019-01-01T04:10:56,49.42403,-123.34171,16.1,262.0
1178784,316001251,2019-01-01T04:12:38,49.42296,-123.35328,16.2,261.4
1184677,316001251,2019-01-01T04:13:56,49.42216,-123.36215,16.1,262.1
1189556,316001251,2019-01-01T04:15:08,49.42165,-123.37031,15.9,269.7
1197974,316001251,2019-01-01T04:16:14,49.42153,-123.37786,16.1,268.1
1206738,316001251,2019-01-01T04:17:56,49.4213,-123.38952,16.1,267.6
1211107,316001251,2019-01-01T04:19:14,49.42108,-123.39843,16.0,267.2
1218923,316001251,2019-01-01T04:20:50,49.4208,-123.40938,16.1,267.6
1230842,316001251,2019-01-01T04:21:56,49.42067,-123.41691,16.1,268.1
1230901,316001251,2019-01-01T04:24:02,49.42137,-123.43108,16.0,276.2
1237358,316001251,2019-01-01T04:25:43,49.42234,-123.44278,17.0,284.5
1240824,316001251,2019-01-01T04:26:52,49.42547,-123.44957,17.9,322.6
1251897,316001251,2019-01-01T04:28:20,49.43165,-123.45542,13.9,328.9
1263244,316001251,2019-01-01T04:30:24,49.43722,-123.46171,11.3,293.0
1273156,316001251,2019-01-01T04:33:15,49.43501,-123.47098,4.9,219.0
1275516,316001251,2019-01-01T04:34:16,49.43415,-123.47176,1.1,201.2
1275601,316001251,2019-01-01T04:31:36,49.43688,-123.46703,9.0,244.3
1283734,316001251,2019-01-01T04:36:36,49.43398,-123.47189,0.0,187.4
1287929,316001251,2019-01-01T04:38:06,49.43398,-123.47189,0.0,241.1
1307435,316001251,2019-01-01T04:42:26,49.43398,-123.47189,0.0,19.6
1329814,316001251,2019-01-01T04:44:26,49.43398,-123.47189,0.0,126.8
1332303,316001251,2019-01-01T04:48:45,49.43398,-123.47189,0.0,196.6
1341779,316001251,2019-01-01T04:51:25,49.43398,-123.47189,0.0,120.0
1349409,316001251,2019-01-01T04:53:14,49.43475,-123.47175,0.0,280.4
1360478,316001251,2019-01-01T04:56:39,49.43733,-123.46734,12.1,74.6
1375974,316001251,2019-01-01T04:57:50,49.43612,-123.46095,15.2,133.5
1379852,316001251,2019-01-01T04:59:32,49.42898,-123.45433,18.6,149.4
1390439,316001251,2019-01-01T05:00:02,49.4268,-123.45227,18.2,147.7
1395867,316001251,2019-01-01T05:01:04,49.42318,-123.44741,16.1,122.3
1397314,316001251,2019-01-01T05:02:06,49.42216,-123.44077,15.4,88.8
1404480,316001251,2019-01-01T05:03:08,49.42238,-123.43397,15.6,88.7
1412107,316001251,2019-01-01T05:04:14,49.42243,-123.42673,14.8,89.1
1417431,316001251,2019-01-01T05:05:20,49.42258,-123.41988,14.6,88.9
1423043,316001251,2019-01-01T05:06:44,49.42259,-123.41113,14.7,88.3
1431627,316001251,2019-01-01T05:07:50,49.42266,-123.40429,14.9,90.8
1443325,316001251,2019-01-01T05:10:01,49.42267,-123.39034,14.9,91.1
1446366,316001251,2019-01-01T05:08:56,49.42264,-123.39721,14.8,89.2
1448103,316001251,2019-01-01T05:11:07,49.42263,-123.38335,14.9,88.7
1452341,316001251,2019-01-01T05:12:50,49.42268,-123.37243,14.8,89.8
1457705,316001251,2019-01-01T05:14:08,49.42347,-123.36459,14.6,78.0
1466729,316001251,2019-01-01T05:15:14,49.42428,-123.35777,14.9,79.7
1472163,316001251,2019-01-01T05:16:26,49.42528,-123.3502,14.9,79.1
1477879,316001251,2019-01-01T05:17:38,49.42612,-123.34274,14.9,79.1
1482126,316001251,2019-01-01T05:18:55,49.42714,-123.33468,14.8,80.7
1492480,316001251,2019-01-01T05:19:56,49.42782,-123.32848,14.6,78.8
1493686,316001251,2019-01-01T05:21:55,49.42921,-123.31609,14.7,79.7
1499456,316001251,2019-01-01T05:22:58,49.42964,-123.30968,14.5,96.7
1503380,316001251,2019-01-01T05:24:06,49.42774,-123.3033,15.2,125.2
1515774,316001251,2019-01-01T05:27:08,49.41916,-123.28865,14.9,139.3
1527729,316001251,2019-01-01T05:29:56,49.40971,-123.27846,14.7,145.9
1531739,316001251,2019-01-01T05:31:18,49.40445,-123.27493,17.4,167.2
1531923,316001251,2019-01-01T05:32:32,49.39813,-123.27306,19.5,168.5
1555474,316001251,2019-01-01T05:36:38,49.38074,-123.27097,9.9,179.8
1561435,316001251,2019-01-01T05:38:08,49.37791,-123.27121,5.0,185.8
1567275,316001251,2019-01-01T05:39:38,49.37651,-123.27144,1.5,184.1
1583452,316001251,2019-01-01T05:40:41,49.3764,-123.27143,0.4,180.5
1588531,316001251,2019-01-01T05:41:50,49.37637,-123.27144,0.0,319.1
1595041,316001251,2019-01-01T05:43:41,49.37622,-123.27148,0.0,333.7
1604282,316001251,2019-01-01T05:47:30,49.37622,-123.27147,0.0,52.3
1620571,316001251,2019-01-01T05:49:51,49.37622,-123.27147,0.0,109.4
1631721,316001251,2019-01-01T05:52:20,49.37622,-123.27147,0.0,262.1
1637428,316001251,2019-01-01T05:55:01,49.37622,-123.27147,0.0,119.6
1638515,316001251,2019-01-01T05:53:40,49.37622,-123.27147,0.0,179.6
1647176,316001251,2019-01-01T05:58:10,49.37622,-123.27147,0.0,112.1
1650207,316001251,2019-01-01T05:59:19,49.37622,-123.27147,0.0,297.2
1657283,316001251,2019-01-01T05:56:19,49.37622,-123.27147,0.0,330.1
1661685,316001251,2019-01-01T06:00:19,49.37622,-123.27147,0.0,328.2
1667251,316001251,2019-01-01T06:01:29,49.37622,-123.27147,0.0,212.1
1674016,316001251,2019-01-01T06:03:20,49.37622,-123.27147,0.0,244.5
1685078,316001251,2019-01-01T06:05:39,49.37622,-123.27147,0.0,188.1
1697146,316001251,2019-01-01T06:07:39,49.37622,-123.27147,0.0,136.9
1699693,316001251,2019-01-01T06:04:29,49.37622,-123.27147,0.0,5.9
1704316,316001251,2019-01-01T06:09:03,49.37698,-123.27142,0.0,79.6
1712535,316001251,2019-01-01T06:10:30,49.37699,-123.27145,0.1,269.2
1722566,316001251,2019-01-01T06:11:50,49.37722,-123.27146,3.4,4.2
1728493,316001251,2019-01-01T06:13:11,49.38074,-123.27092,14.5,0.8
1733639,316001251,2019-01-01T06:14:14,49.38533,-123.27268,18.1,329.6
1738776,316001251,2019-01-01T06:15:16,49.38893,-123.27864,19.2,298.4
1748945,316001251,2019-01-01T06:17:20,49.38755,-123.29454,19.6,233.1
1756622,316001251,2019-01-01T06:18:44,49.38222,-123.30252,19.0,219.7
1760629,316001251,2019-01-01T06:19:46,49.37785,-123.30759,18.8,212.5
1765938,316001251,2019-01-01T06:20:56,49.37266,-123.31221,18.8,209.1
1770791,316001251,2019-01-01T06:16:18,49.38993,-123.28679,19.2,261.5
1780875,316001251,2019-01-01T06:21:57,49.3679,-123.31612,18.7,208.9
1788987,316001251,2019-01-01T06:24:10,49.35784,-123.32455,18.7,208.2
1792840,316001251,2019-01-01T06:25:20,49.35245,-123.32907,18.7,208.1
1794611,316001251,2019-01-01T06:23:08,49.36256,-123.3206,18.7,208.0
1798824,316001251,2019-01-01T06:26:32,49.347,-123.33366,18.6,209.3
1804511,316001251,2019-01-01T06:27:34,49.34239,-123.33754,18.6,209.0
1809620,316001251,2019-01-01T06:28:44,49.33703,-123.34212,18.7,207.5
1814651,316001251,2019-01-01T06:29:46,49.33291,-123.34697,18.1,232.8
1819628,316001251,2019-01-01T06:30:48,49.33093,-123.35439,19.0,254.6
1825353,316001251,2019-01-01T06:31:56,49.32931,-123.36327,19.5,254.5
1836984,316001251,2019-01-01T06:32:58,49.32771,-123.37141,19.2,254.0
1841363,316001251,2019-01-01T06:34:08,49.32591,-123.38059,18.7,255.7
1846823,316001251,2019-01-01T06:35:09,49.32456,-123.38841,18.5,254.2
1851799,316001251,2019-01-01T06:36:10,49.32324,-123.39602,18.6,255.4
1857540,316001251,2019-01-01T06:37:20,49.32169,-123.40509,18.6,255.9
1868608,316001251,2019-01-01T06:39:34,49.31884,-123.42225,18.7,256.5
1873119,316001251,2019-01-01T06:40:43,49.31736,-123.43123,18.6,255.6
1878096,316001251,2019-01-01T06:41:46,49.31602,-123.43932,18.8,254.8
1883179,316001251,2019-01-01T06:42:57,49.3145,-123.44835,18.9,254.9
1885598,316001251,2019-01-01T06:38:32,49.32014,-123.41439,18.8,256.9
1894807,316001251,2019-01-01T06:43:58,49.31317,-123.45636,18.8,255.3
1901520,316001251,2019-01-01T06:45:10,49.31166,-123.46567,18.7,256.4
1907075,316001251,2019-01-01T06:46:19,49.31021,-123.47458,18.8,257.0
1914490,316001251,2019-01-01T06:47:23,49.30894,-123.48275,18.9,257.3
1918896,316001251,2019-01-01T06:48:32,49.30767,-123.49176,18.9,257.9
1922052,316001251,2019-01-01T06:49:34,49.30654,-123.49985,18.7,257.2
1930117,316001251,2019-01-01T06:50:44,49.30525,-123.50885,18.5,256.5
1930710,316001251,2019-01-01T06:51:45,49.30405,-123.51678,18.5,256.9
1938335,316001251,2019-01-01T06:52:55,49.30264,-123.52573,18.5,257.3
1948120,316001251,2019-01-01T06:53:58,49.30137,-123.53368,18.7,257.0
1953784,316001251,2019-01-01T06:55:08,49.29996,-123.5427,18.7,256.7
1960420,316001251,2019-01-01T06:56:10,49.2987,-123.5507,18.8,255.6
1963887,316001251,2019-01-01T06:57:32,49.29705,-123.5613,18.8,255.7
1970955,316001251,2019-01-01T06:58:44,49.2956,-123.5706,18.7,256.0
1975412,316001251,2019-01-01T06:59:45,49.29426,-123.57856,18.6,257.1
1979025,316001251,2019-01-01T07:00:08,49.29379,-123.58151,18.7,255.4
1985007,316001251,2019-01-01T07:01:10,49.29245,-123.58934,18.6,256.5
2001052,316001251,2019-01-01T07:02:19,49.29092,-123.59831,18.6,256.0
2001877,316001251,2019-01-01T07:03:32,49.28937,-123.60754,18.7,255.6
2006112,316001251,2019-01-01T07:04:33,49.28804,-123.6155,18.7,255.4
2010158,316001251,2019-01-01T07:05:34,49.28677,-123.6232,18.7,255.4
2016887,316001251,2019-01-01T07:06:44,49.28487,-123.63215,18.6,252.5
2022019,316001251,2019-01-01T07:07:46,49.28343,-123.63989,18.7,253.7
2027358,316001251,2019-01-01T07:08:56,49.28178,-123.64883,18.7,254.6
2033602,316001251,2019-01-01T07:11:08,49.27862,-123.6658,18.7,254.2
2034311,316001251,2019-01-01T07:09:57,49.28028,-123.65674,18.7,254.6
2050277,316001251,2019-01-01T07:13:22,49.27552,-123.68293,18.8,254.0
2050744,316001251,2019-01-01T07:14:34,49.27385,-123.69213,18.7,254.4
2057706,316001251,2019-01-01T07:12:20,49.27694,-123.67499,18.8,254.0
2064940,316001251,2019-01-01T07:15:44,49.27224,-123.70096,18.7,255.1
2073981,316001251,2019-01-01T07:16:56,49.27051,-123.71028,18.7,254.6
2076021,316001251,2019-01-01T07:17:58,49.26909,-123.71821,18.8,253.6
2083202,316001251,2019-01-01T07:19:08,49.26735,-123.72698,18.8,250.9
2092186,316001251,2019-01-01T07:22:32,49.26171,-123.75255,18.7,251.8
2097757,316001251,2019-01-01T07:21:22,49.26363,-123.74391,18.6,252.0
