,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
104,814819,316001251,2019-01-01 03:00:08,49.42374,-123.34936,15.3,78.8
107,832704,316001251,2019-01-01 03:01:14,49.4247,-123.3423,15.5,80.1
105,827883,316001251,2019-01-01 03:02:56,49.42603,-123.33122,15.3,79.2
106,831499,316001251,2019-01-01 03:04:20,49.42696,-123.32219,15.2,79.5
110,858816,316001251,2019-01-01 03:06:12,49.42801,-123.31026,15.3,92.6
108,848687,316001251,2019-01-01 03:07:14,49.42689,-123.30357,15.8,114.8
109,855580,316001251,2019-01-01 03:08:25,49.42446,-123.29662,15.3,119.6
111,863284,316001251,2019-01-01 03:09:30,49.42134,-123.2917,15.3,145.7
112,869564,316001251,2019-01-01 03:10:43,49.41699,-123.2871,15.5,145.0
117,909054,316001251,2019-01-01 03:12:37,49.41024,-123.28004,15.3,143.9
118,913645,316001251,2019-01-01 03:13:43,49.40608,-123.27704,15.1,162.3
113,888196,316001251,2019-01-01 03:15:16,49.39922,-123.2733,19.0,166.8
114,895541,316001251,2019-01-01 03:16:44,49.39172,-123.27151,15.5,176.0
115,901583,316001251,2019-01-01 03:17:50,49.38778,-123.27104,12.9,175.2
116,905726,316001251,2019-01-01 03:18:56,49.38357,-123.27053,14.2,175.3
119,917650,316001251,2019-01-01 03:20:14,49.37969,-123.27019,7.3,180.2
120,923681,316001251,2019-01-01 03:21:32,49.37763,-123.27051,3.5,191.7
121,931494,316001251,2019-01-01 03:22:56,49.37658,-123.27084,1.4,200.8
122,936040,316001251,2019-01-01 03:24:19,49.37645,-123.2709,0.0,320.0
123,941405,316001251,2019-01-01 03:25:20,49.37647,-123.27089,0.0,68.2
124,950631,316001251,2019-01-01 03:27:20,49.37647,-123.27089,0.0,218.7
125,957383,316001251,2019-01-01 03:28:41,49.37646,-123.27089,0.0,283.2
126,963981,316001251,2019-01-01 03:30:30,49.37647,-123.27089,0.0,72.5
127,979879,316001251,2019-01-01 03:31:41,49.37647,-123.27089,0.0,358.8
128,983477,316001251,2019-01-01 03:33:29,49.37647,-123.27089,0.0,239.1
129,989644,316001251,2019-01-01 03:35:01,49.37647,-123.27089,0.0,250.1
130,996882,316001251,2019-01-01 03:36:21,49.37647,-123.27089,0.0,312.4
131,1001842,316001251,2019-01-01 03:37:50,49.37647,-123.27089,0.0,307.7
132,1008364,316001251,2019-01-01 03:39:20,49.37647,-123.27089,0.0,247.7
133,1019538,316001251,2019-01-01 03:41:20,49.37647,-123.27089,0.0,249.0
134,1025471,316001251,2019-01-01 03:42:39,49.37647,-123.27089,0.0,317.5
135,1036420,316001251,2019-01-01 03:44:10,49.37647,-123.27089,0.0,37.9
139,1077000,316001251,2019-01-01 03:49:10,49.37646,-123.2709,0.0,69.7
136,1062338,316001251,2019-01-01 03:50:13,49.37723,-123.27081,0.0,160.8
137,1066668,316001251,2019-01-01 03:51:30,49.37723,-123.27081,0.0,127.1
138,1072343,316001251,2019-01-01 03:52:51,49.37804,-123.27057,6.6,11.2
140,1081404,316001251,2019-01-01 03:54:08,49.3823,-123.2702,15.8,354.2
141,1090911,316001251,2019-01-01 03:55:15,49.38745,-123.27223,18.1,341.3
142,1095765,316001251,2019-01-01 03:56:26,49.39301,-123.27519,17.0,340.5
143,1099995,316001251,2019-01-01 03:57:37,49.39814,-123.27808,16.2,340.4
144,1104950,316001251,2019-01-01 03:58:56,49.40366,-123.28122,16.0,339.2
145,1117748,316001251,2019-01-01 04:00:26,49.40985,-123.2848,15.8,339.1
146,1124634,316001251,2019-01-01 04:01:32,49.41437,-123.28739,15.9,338.2
147,1127518,316001251,2019-01-01 04:02:37,49.41886,-123.29001,15.8,338.2
148,1133325,316001251,2019-01-01 04:03:55,49.4235,-123.29506,15.7,315.6
149,1138935,316001251,2019-01-01 04:05:08,49.42632,-123.30215,16.2,297.8
150,1150339,316001251,2019-01-01 04:06:11,49.42722,-123.3089,16.0,264.0
151,1155068,316001251,2019-01-01 04:07:14,49.42643,-123.31625,16.5,263.0
152,1160766,316001251,2019-01-01 04:08:26,49.42563,-123.32461,16.5,260.9
153,1166862,316001251,2019-01-01 04:09:44,49.42478,-123.33354,16.2,260.8
154,1172798,316001251,2019-01-01 04:10:56,49.42403,-123.34171,16.1,262.0
155,1178784,316001251,2019-01-01 04:12:38,49.42296,-123.35328,16.2,261.4
156,1184677,316001251,2019-01-01 04:13:56,49.42216,-123.36215,16.1,262.1
157,1189556,316001251,2019-01-01 04:15:08,49.42165,-123.37031,15.9,269.7
158,1197974,316001251,2019-01-01 04:16:14,49.42153,-123.37786,16.1,268.1
159,1206738,316001251,2019-01-01 04:17:56,49.4213,-123.38952,16.1,267.6
160,1211107,316001251,2019-01-01 04:19:14,49.42108,-123.39843,16.0,267.2
161,1218923,316001251,2019-01-01 04:20:50,49.4208,-123.40938,16.1,267.6
162,1230842,316001251,2019-01-01 04:21:56,49.42067,-123.41691,16.1,268.1
163,1230901,316001251,2019-01-01 04:24:02,49.42137,-123.43108,16.0,276.2
164,1237358,316001251,2019-01-01 04:25:43,49.42234,-123.44278,17.0,284.5
165,1240824,316001251,2019-01-01 04:26:52,49.42547,-123.44957,17.9,322.6
166,1251897,316001251,2019-01-01 04:28:20,49.43165,-123.45542,13.9,328.9
167,1263244,316001251,2019-01-01 04:30:24,49.43722,-123.46171,11.3,293.0
170,1275601,316001251,2019-01-01 04:31:36,49.43688,-123.46703,9.0,244.3
168,1273156,316001251,2019-01-01 04:33:15,49.43501,-123.47098,4.9,219.0
169,1275516,316001251,2019-01-01 04:34:16,49.43415,-123.47176,1.1,201.2
171,1283734,316001251,2019-01-01 04:36:36,49.43398,-123.47189,0.0,187.4
172,1287929,316001251,2019-01-01 04:38:06,49.43398,-123.47189,0.0,241.1
173,1307435,316001251,2019-01-01 04:42:26,49.43398,-123.47189,0.0,19.6
174,1329814,316001251,2019-01-01 04:44:26,49.43398,-123.47189,0.0,126.8
175,1332303,316001251,2019-01-01 04:48:45,49.43398,-123.47189,0.0,196.6
176,1341779,316001251,2019-01-01 04:51:25,49.43398,-123.47189,0.0,120.0
177,1349409,316001251,2019-01-01 04:53:14,49.43475,-123.47175,0.0,280.4
178,1360478,316001251,2019-01-01 04:56:39,49.43733,-123.46734,12.1,74.6
179,1375974,316001251,2019-01-01 04:57:50,49.43612,-123.46095,15.2,133.5
180,1379852,316001251,2019-01-01 04:59:32,49.42898,-123.45433,18.6,149.4
181,1390439,316001251,2019-01-01 05:00:02,49.4268,-123.45227,18.2,147.7
182,1395867,316001251,2019-01-01 05:01:04,49.42318,-123.44741,16.1,122.3
183,1397314,316001251,2019-01-01 05:02:06,49.42216,-123.44077,15.4,88.8
184,1404480,316001251,2019-01-01 05:03:08,49.42238,-123.43397,15.6,88.7
185,1412107,316001251,2019-01-01 05:04:14,49.42243,-123.42673,14.8,89.1
186,1417431,316001251,2019-01-01 05:05:20,49.42258,-123.41988,14.6,88.9
187,1423043,316001251,2019-01-01 05:06:44,49.42259,-123.41113,14.7,88.3
188,1431627,316001251,2019-01-01 05:07:50,49.42266,-123.40429,14.9,90.8
190,1446366,316001251,2019-01-01 05:08:56,49.42264,-123.39721,14.8,89.2
189,1443325,316001251,2019-01-01 05:10:01,49.42267,-123.39034,14.9,91.1
191,1448103,316001251,2019-01-01 05:11:07,49.42263,-123.38335,14.9,88.7
192,1452341,316001251,2019-01-01 05:12:50,49.42268,-123.37243,14.8,89.8
